id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"ACP6_T cell, CD8, naive",Wald_ratio,1,0.023230521,0.009786933,NA,NA,0.017614364,NA,NA,NA,NA,NA,NA,NA,0.004048133,0.042412909,1.023502451,1.004056338,1.043325188,0.204679451,Prostate cancer,ieu-b-85,ACP6,"T cell, CD8, naive"
"ACP6_T cell, CD4, TH1",Wald_ratio,1,0.025200638,0.010616936,NA,NA,0.017614364,NA,NA,NA,NA,NA,NA,NA,0.004391445,0.046009832,1.025520859,1.004401101,1.047084706,0.204679451,Prostate cancer,ieu-b-85,ACP6,"T cell, CD4, TH1"
"NAPG_T cell, CD4, TH2",Wald_ratio,1,0.01935797,0.009857126,NA,NA,0.049546861,NA,NA,NA,NA,NA,NA,NA,3.80E-05,0.038677936,1.01954655,1.000038004,1.039435665,0.346713967,Prostate cancer,ieu-b-85,NAPG,"T cell, CD4, TH2"
"CRY1_T cell, CD4, naive TREG",Wald_ratio,1,-0.032240286,0.010075089,NA,NA,0.001374276,NA,NA,NA,NA,NA,NA,NA,-0.051987461,-0.012493111,0.968273892,0.949340771,0.987584604,0.036461948,Prostate cancer,ieu-b-85,CRY1,"T cell, CD4, naive TREG"
"VPS53_T cell, CD4, naive",Wald_ratio,1,-0.018896235,0.008608285,NA,NA,0.028154851,NA,NA,NA,NA,NA,NA,NA,-0.035768474,-0.002023997,0.981281179,0.964863659,0.99797805,0.260453792,Prostate cancer,ieu-b-85,VPS53,"T cell, CD4, naive"
"VPS53_T cell, CD4, TFH",Wald_ratio,1,-0.020442757,0.009312812,NA,NA,0.028154851,NA,NA,NA,NA,NA,NA,NA,-0.038695867,-0.002189646,0.97976478,0.962043253,0.997812749,0.260453792,Prostate cancer,ieu-b-85,VPS53,"T cell, CD4, TFH"
"VPS53_T cell, CD8, naive",Wald_ratio,1,-0.017912281,0.008160039,NA,NA,0.028154851,NA,NA,NA,NA,NA,NA,NA,-0.033905958,-0.001918604,0.98224719,0.966662407,0.998083235,0.260453792,Prostate cancer,ieu-b-85,VPS53,"T cell, CD8, naive"
"VPS53_T cell, CD8, naive activated",Wald_ratio,1,-0.024810709,0.011302656,NA,NA,0.028154851,NA,NA,NA,NA,NA,NA,NA,-0.046963915,-0.002657503,0.975494547,0.954121826,0.997346025,0.260453792,Prostate cancer,ieu-b-85,VPS53,"T cell, CD8, naive activated"
"VPS53_T cell, CD4, TH1",Wald_ratio,1,-0.020477655,0.00932871,NA,NA,0.028154851,NA,NA,NA,NA,NA,NA,NA,-0.038761926,-0.002193384,0.979730588,0.961979704,0.997809019,0.260453792,Prostate cancer,ieu-b-85,VPS53,"T cell, CD4, TH1"
"NSFP1_T cell, CD4, naive TREG",Wald_ratio,1,0.067350812,0.025775147,NA,NA,0.00897477,NA,NA,NA,NA,NA,NA,NA,0.016831524,0.117870099,1.069670665,1.016973972,1.125097951,0.140910586,Prostate cancer,ieu-b-85,NSFP1,"T cell, CD4, naive TREG"
"CTSK_Monocyte, classical",Wald_ratio,1,-0.051152175,0.010178896,NA,NA,5.03E-07,NA,NA,NA,NA,NA,NA,NA,-0.071102811,-0.031201538,0.950134073,0.931366132,0.969280206,6.45E-05,Prostate cancer,ieu-b-85,CTSK,"Monocyte, classical"
"ARNT_T cell, CD4, TH2",Wald_ratio,1,-0.052164654,0.010380372,NA,NA,5.03E-07,NA,NA,NA,NA,NA,NA,NA,-0.072510183,-0.031819125,0.949172569,0.930056275,0.968681776,6.45E-05,Prostate cancer,ieu-b-85,ARNT,"T cell, CD4, TH2"
"CTBP1-AS2_T cell, CD4, TH17",Wald_ratio,1,0.028455442,0.00956195,NA,NA,0.002921267,NA,NA,NA,NA,NA,NA,NA,0.00971402,0.047196864,1.028864165,1.009761354,1.048328367,0.065583696,Prostate cancer,ieu-b-85,CTBP1-AS2,"T cell, CD4, TH17"
"RP11-259G18.1_T cell, CD4, TH1",Wald_ratio,1,0.019499827,0.009633843,NA,NA,0.042960235,NA,NA,NA,NA,NA,NA,NA,0.000617495,0.03838216,1.019691191,1.000617685,1.03912827,0.323781791,Prostate cancer,ieu-b-85,RP11-259G18.1,"T cell, CD4, TH1"
"NSUN4_T cell, CD4, naive",Wald_ratio,1,0.039807548,0.008936388,NA,NA,8.41E-06,NA,NA,NA,NA,NA,NA,NA,0.022292227,0.05732287,1.040610488,1.022542556,1.058997674,0.000597101,Prostate cancer,ieu-b-85,NSUN4,"T cell, CD4, naive"
"C10orf32_Monocyte, classical",Wald_ratio,1,0.031009967,0.010066668,NA,NA,0.002066813,NA,NA,NA,NA,NA,NA,NA,0.011279297,0.050740637,1.031495785,1.011343148,1.052049995,0.050181289,Prostate cancer,ieu-b-85,C10orf32,"Monocyte, classical"
"MEST_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.025962873,0.011917384,NA,NA,0.029363521,NA,NA,NA,NA,NA,NA,NA,-0.049320946,-0.0026048,0.974371264,0.95187558,0.99739859,0.266445463,Prostate cancer,ieu-b-85,MEST,"T cell, CD4, TH1 TH17"
"RP4-631H13.6_B cell, naive",Wald_ratio,1,0.037794996,0.00930856,NA,NA,4.90E-05,NA,NA,NA,NA,NA,NA,NA,0.019550219,0.056039773,1.03851831,1.019742576,1.057639748,0.002661024,Prostate cancer,ieu-b-85,RP4-631H13.6,"B cell, naive"
"IGHMBP2_T cell, CD4, TFH",Wald_ratio,1,-0.020023798,0.007319624,NA,NA,0.006226058,NA,NA,NA,NA,NA,NA,NA,-0.03437026,-0.005677336,0.980175347,0.966213688,0.99433875,0.110937688,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD4, TFH"
"HLA-DRB6_T cell, CD4, TH2",Wald_ratio,1,0.023647597,0.008833344,NA,NA,0.007426616,NA,NA,NA,NA,NA,NA,NA,0.006334244,0.040960951,1.023929419,1.006354347,1.041811423,0.127978615,Prostate cancer,ieu-b-85,HLA-DRB6,"T cell, CD4, TH2"
"HLA-DRB6_Monocyte, non-classical",Wald_ratio,1,0.019779335,0.00738839,NA,NA,0.007426616,NA,NA,NA,NA,NA,NA,NA,0.005298091,0.034260579,1.019976242,1.005312151,1.034854233,0.127978615,Prostate cancer,ieu-b-85,HLA-DRB6,"Monocyte, non-classical"
"MRPL21_T cell, CD4, naive TREG",Wald_ratio,1,0.021925379,0.008790359,NA,NA,0.012622259,NA,NA,NA,NA,NA,NA,NA,0.004696275,0.039154484,1.022167507,1.00470732,1.039931124,0.170378071,Prostate cancer,ieu-b-85,MRPL21,"T cell, CD4, naive TREG"
"MRPL21_T cell, CD4, TH2",Wald_ratio,1,0.024574988,0.009852645,NA,NA,0.012622259,NA,NA,NA,NA,NA,NA,NA,0.005263804,0.043886172,1.024879442,1.005277682,1.044863414,0.170378071,Prostate cancer,ieu-b-85,MRPL21,"T cell, CD4, TH2"
"NAPG_T cell, CD4, naive TREG",Wald_ratio,1,0.019598235,0.009565805,NA,NA,0.040483585,NA,NA,NA,NA,NA,NA,NA,0.000849257,0.038347213,1.019791541,1.000849618,1.039091956,0.314093927,Prostate cancer,ieu-b-85,NAPG,"T cell, CD4, naive TREG"
"NAPG_T cell, CD8, naive",Wald_ratio,1,0.020739743,0.01012297,NA,NA,0.040483585,NA,NA,NA,NA,NA,NA,NA,0.000898722,0.040580763,1.020956306,1.000899126,1.041415414,0.314093927,Prostate cancer,ieu-b-85,NAPG,"T cell, CD8, naive"
"TMEM41B_T cell, CD4, naive TREG",Wald_ratio,1,-0.027004003,0.008562245,NA,NA,0.00161134,NA,NA,NA,NA,NA,NA,NA,-0.043786003,-0.010222003,0.973357345,0.957158764,0.989830064,0.040750013,Prostate cancer,ieu-b-85,TMEM41B,"T cell, CD4, naive TREG"
"IGHMBP2_T cell, CD4, TH17",Wald_ratio,1,-0.020794523,0.007633432,NA,NA,0.006446958,NA,NA,NA,NA,NA,NA,NA,-0.03575605,-0.005832995,0.979420192,0.964875646,0.994183984,0.113542651,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD4, TH17"
"IGHMBP2_T cell, CD4, naive TREG",Wald_ratio,1,-0.022670037,0.008321912,NA,NA,0.006446958,NA,NA,NA,NA,NA,NA,NA,-0.038980985,-0.006359089,0.977584998,0.961768997,0.993661087,0.113542651,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD4, naive TREG"
"IGHMBP2_T cell, CD4, TH2",Wald_ratio,1,-0.023807709,0.008739539,NA,NA,0.006446958,NA,NA,NA,NA,NA,NA,NA,-0.040937205,-0.006678213,0.976473459,0.959889404,0.993344037,0.113542651,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD4, TH2"
"IGHMBP2_T cell, CD8, naive",Wald_ratio,1,-0.022549157,0.008277539,NA,NA,0.006446958,NA,NA,NA,NA,NA,NA,NA,-0.038773133,-0.006325181,0.977703175,0.961968923,0.99369478,0.113542651,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD8, naive"
"IGHMBP2_T cell, CD4, memory TREG",Wald_ratio,1,-0.02091903,0.007679137,NA,NA,0.006446958,NA,NA,NA,NA,NA,NA,NA,-0.035970139,-0.00586792,0.979298256,0.964669099,0.994149262,0.113542651,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD4, memory TREG"
"INPP5B_NK cell, CD56dim CD16+",Wald_ratio,1,0.015811085,0.007332677,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001439038,0.030183132,1.015936742,1.001440074,1.030643261,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"NK cell, CD56dim CD16+"
"INPP5B_B cell, naive",Wald_ratio,1,0.014415277,0.006685346,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001311999,0.027518554,1.014519678,1.00131286,1.027900687,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"B cell, naive"
"INPP5B_T cell, CD4, TH1 TH17",Wald_ratio,1,0.015026083,0.006968618,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001367591,0.028684575,1.015139542,1.001368527,1.02909994,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD4, TH1 TH17"
"INPP5B_Monocyte, non-classical",Wald_ratio,1,0.014313174,0.006637994,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001302706,0.027323641,1.014416098,1.001303555,1.027700355,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"Monocyte, non-classical"
"INPP5B_T cell, CD4, TFH",Wald_ratio,1,0.01445545,0.006703977,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001315655,0.027595245,1.014560436,1.001316521,1.02797952,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD4, TFH"
"INPP5B_T cell, CD4, naive",Wald_ratio,1,0.015369592,0.007127927,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001398856,0.029340329,1.015488312,1.001399834,1.029774997,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD4, naive"
"INPP5B_T cell, CD8, naive",Wald_ratio,1,0.014890747,0.006905854,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001355274,0.028426221,1.015002167,1.001356193,1.028834101,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD8, naive"
"INPP5B_T cell, CD4, TH1",Wald_ratio,1,0.014997992,0.00695559,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001365035,0.028630949,1.015111026,1.001365967,1.029044755,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD4, TH1"
"INPP5B_T cell, CD4, TH17",Wald_ratio,1,0.01476723,0.00684857,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001344032,0.028190427,1.014876804,1.001344936,1.028591537,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"T cell, CD4, TH17"
"INPP5B_Monocyte, classical",Wald_ratio,1,0.014611638,0.006776412,NA,NA,0.031064149,NA,NA,NA,NA,NA,NA,NA,0.001329871,0.027893405,1.01471891,1.001330755,1.028286068,0.273148112,Prostate cancer,ieu-b-85,INPP5B,"Monocyte, classical"
"IGHMBP2_T cell, CD8, naive activated",Wald_ratio,1,-0.025129538,0.010121619,NA,NA,0.013036939,NA,NA,NA,NA,NA,NA,NA,-0.044967912,-0.005291164,0.975183581,0.956028159,0.99472281,0.174119897,Prostate cancer,ieu-b-85,IGHMBP2,"T cell, CD8, naive activated"
"LGALS8_T cell, CD4, naive",Wald_ratio,1,-0.032333357,0.016304267,NA,NA,0.047353763,NA,NA,NA,NA,NA,NA,NA,-0.064289721,-0.000376993,0.968183778,0.93773328,0.999623078,0.338032594,Prostate cancer,ieu-b-85,LGALS8,"T cell, CD4, naive"
"LGALS8_NK cell, CD56dim CD16+",Wald_ratio,1,-0.036169031,0.018238426,NA,NA,0.047353763,NA,NA,NA,NA,NA,NA,NA,-0.071916346,-0.000421716,0.964477254,0.930608742,0.999578373,0.338032594,Prostate cancer,ieu-b-85,LGALS8,"NK cell, CD56dim CD16+"
"LGALS8_T cell, CD4, naive TREG",Wald_ratio,1,-0.031237852,0.015751853,NA,NA,0.047353763,NA,NA,NA,NA,NA,NA,NA,-0.062111485,-0.00036422,0.969245008,0.93977811,0.999635846,0.338032594,Prostate cancer,ieu-b-85,LGALS8,"T cell, CD4, naive TREG"
"TRAV8-5_NK cell, CD56dim CD16+",Wald_ratio,1,-0.021743725,0.008733881,NA,NA,0.012789293,NA,NA,NA,NA,NA,NA,NA,-0.038862133,-0.004625318,0.978490965,0.961883312,0.995385362,0.171967199,Prostate cancer,ieu-b-85,TRAV8-5,"NK cell, CD56dim CD16+"
"OR13A1_B cell, naive",Wald_ratio,1,-0.022354528,0.011073771,NA,NA,0.043519285,NA,NA,NA,NA,NA,NA,NA,-0.044059118,-0.000649937,0.977893483,0.956897386,0.999350274,0.325356424,Prostate cancer,ieu-b-85,OR13A1,"B cell, naive"
"LRRC37A2_T cell, CD4, TH2",Wald_ratio,1,-0.023762144,0.009409809,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.042205369,-0.005318918,0.976517953,0.958672879,0.994695202,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, TH2"
"LRRC37A2_T cell, CD4, TH17",Wald_ratio,1,-0.022744013,0.009006629,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.040397006,-0.00509102,0.977512682,0.960408075,0.994921917,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, TH17"
"LRRC37A2_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.021309648,0.00843862,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.037849344,-0.004769952,0.978915799,0.962857991,0.995241407,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, TH1 TH17"
"LRRC37A2_T cell, CD4, naive TREG",Wald_ratio,1,-0.023422844,0.009275446,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.041602719,-0.005242969,0.976849341,0.959250797,0.994770751,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, naive TREG"
"LRRC37A2_T cell, CD4, memory TREG",Wald_ratio,1,-0.023433075,0.009279498,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.041620891,-0.00524526,0.976839347,0.959233366,0.994768473,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, memory TREG"
"LRRC37A2_T cell, CD8, naive",Wald_ratio,1,-0.022321026,0.008839126,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.039645714,-0.004996339,0.977926245,0.961129894,0.995016122,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD8, naive"
"LRRC37A2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.022199389,0.008790958,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.039429666,-0.004969111,0.978045204,0.961337566,0.995043214,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"NK cell, CD56dim CD16+"
"LRRC37A2_T cell, CD4, TFH",Wald_ratio,1,-0.023762124,0.009409801,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.042205334,-0.005318914,0.976517973,0.958672913,0.994695207,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, TFH"
"LRRC37A2_T cell, CD4, naive",Wald_ratio,1,-0.024249646,0.00960286,NA,NA,0.011561518,NA,NA,NA,NA,NA,NA,NA,-0.043071252,-0.005428041,0.976042014,0.957843139,0.994586664,0.16055613,Prostate cancer,ieu-b-85,LRRC37A2,"T cell, CD4, naive"
"ZNF493_T cell, CD4, TH2",Wald_ratio,1,-0.021051892,0.009022239,NA,NA,0.019630657,NA,NA,NA,NA,NA,NA,NA,-0.03873548,-0.003368303,0.979168153,0.962005145,0.996637364,0.214343649,Prostate cancer,ieu-b-85,ZNF493,"T cell, CD4, TH2"
"ZNF493_T cell, CD4, TH17",Wald_ratio,1,-0.024148628,0.010349412,NA,NA,0.019630657,NA,NA,NA,NA,NA,NA,NA,-0.044433475,-0.00386378,0.976140617,0.956539232,0.996143674,0.214343649,Prostate cancer,ieu-b-85,ZNF493,"T cell, CD4, TH17"
"GCH1_T cell, CD8, naive",Wald_ratio,1,-0.023392907,0.009889684,NA,NA,0.018011355,NA,NA,NA,NA,NA,NA,NA,-0.042776688,-0.004009126,0.976878586,0.958125327,0.9959989,0.206363247,Prostate cancer,ieu-b-85,GCH1,"T cell, CD8, naive"
"GCH1_T cell, CD4, TH1",Wald_ratio,1,-0.023133215,0.009779896,NA,NA,0.018011355,NA,NA,NA,NA,NA,NA,NA,-0.042301812,-0.003964619,0.977132306,0.958580426,0.996043229,0.206363247,Prostate cancer,ieu-b-85,GCH1,"T cell, CD4, TH1"
"GBP7_NK cell, CD56dim CD16+",Wald_ratio,1,0.017817761,0.00775488,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002618195,0.033017327,1.017977444,1.002621626,1.033568447,0.223161443,Prostate cancer,ieu-b-85,GBP7,"NK cell, CD56dim CD16+"
"GBP7_T cell, CD4, memory TREG",Wald_ratio,1,0.017602524,0.007661202,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002586568,0.03261848,1.017758361,1.002589916,1.033156294,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, memory TREG"
"GBP7_T cell, CD4, TH1 TH17",Wald_ratio,1,0.017684549,0.007696902,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002598621,0.032770478,1.017841847,1.002602,1.033313344,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, TH1 TH17"
"GBP7_T cell, CD4, naive activated",Wald_ratio,1,0.018076451,0.007867471,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002656208,0.033496695,1.018240819,1.002659739,1.034064026,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, naive activated"
"GBP7_T cell, CD4, TH17",Wald_ratio,1,0.018742574,0.00815739,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.00275409,0.034731058,1.018919319,1.002757886,1.035341224,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, TH17"
"GBP7_Monocyte, classical",Wald_ratio,1,0.019714061,0.008580213,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002896843,0.036531278,1.019909666,1.002901043,1.037206745,0.223161443,Prostate cancer,ieu-b-85,GBP7,"Monocyte, classical"
"GBP7_T cell, CD4, TH1",Wald_ratio,1,0.018210859,0.00792597,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002675958,0.033745759,1.018377688,1.002679542,1.034321606,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, TH1"
"GBP7_Monocyte, non-classical",Wald_ratio,1,0.018075717,0.007867151,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.0026561,0.033495333,1.018240071,1.002659631,1.034062618,0.223161443,Prostate cancer,ieu-b-85,GBP7,"Monocyte, non-classical"
"GBP7_T cell, CD8, naive activated",Wald_ratio,1,0.016645545,0.007244693,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002445946,0.030845144,1.016784854,1.00244894,1.031325784,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD8, naive activated"
"GBP7_T cell, CD4, TH2",Wald_ratio,1,0.018350112,0.007986577,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002696421,0.034003803,1.01851951,1.002700059,1.034588541,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, TH2"
"GBP7_T cell, CD4, naive TREG",Wald_ratio,1,0.019914612,0.0086675,NA,NA,0.021583481,NA,NA,NA,NA,NA,NA,NA,0.002926313,0.036902912,1.020114231,1.002930599,1.037592278,0.223161443,Prostate cancer,ieu-b-85,GBP7,"T cell, CD4, naive TREG"
"HEATR3_T cell, CD4, naive TREG",Wald_ratio,1,0.016886556,0.006921967,NA,NA,0.014705143,NA,NA,NA,NA,NA,NA,NA,0.003319501,0.03045361,1.01702994,1.003325017,1.030922065,0.184408797,Prostate cancer,ieu-b-85,HEATR3,"T cell, CD4, naive TREG"
"HEATR3_B cell, naive",Wald_ratio,1,0.016747346,0.006864903,NA,NA,0.014705143,NA,NA,NA,NA,NA,NA,NA,0.003292136,0.030202556,1.016888369,1.003297561,1.030663279,0.184408797,Prostate cancer,ieu-b-85,HEATR3,"B cell, naive"
"HEATR3_NK cell, CD56dim CD16+",Wald_ratio,1,0.017910794,0.007341812,NA,NA,0.014705143,NA,NA,NA,NA,NA,NA,NA,0.003520843,0.032300745,1.018072154,1.003527048,1.032828076,0.184408797,Prostate cancer,ieu-b-85,HEATR3,"NK cell, CD56dim CD16+"
"HLA-DRB6_T cell, CD4, TH17",Wald_ratio,1,0.020050113,0.009560934,NA,NA,0.035985841,NA,NA,NA,NA,NA,NA,NA,0.001310683,0.038789543,1.020252467,1.001311543,1.03955168,0.295807895,Prostate cancer,ieu-b-85,HLA-DRB6,"T cell, CD4, TH17"
"NAT8_T cell, CD4, TH2",Wald_ratio,1,0.022477043,0.009434808,NA,NA,0.017202401,NA,NA,NA,NA,NA,NA,NA,0.003984819,0.040969267,1.022731555,1.003992769,1.041820087,0.201432432,Prostate cancer,ieu-b-85,NAT8,"T cell, CD4, TH2"
"MKRN1_T cell, CD4, memory TREG",Wald_ratio,1,0.022272839,0.010414263,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.001860884,0.042684794,1.022522731,1.001862617,1.043608891,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD4, memory TREG"
"MKRN1_T cell, CD8, naive",Wald_ratio,1,0.023343829,0.010915033,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.001950365,0.044737294,1.023618429,1.001952268,1.045753098,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD8, naive"
"MKRN1_T cell, CD4, TH17",Wald_ratio,1,0.028630686,0.013387044,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.002392079,0.054869293,1.029044484,1.002394942,1.056402527,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD4, TH17"
"MKRN1_T cell, CD4, TH2",Wald_ratio,1,0.028028994,0.013105707,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.002341808,0.053716181,1.028425503,1.002344552,1.055185078,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD4, TH2"
"MKRN1_T cell, CD4, TH1 TH17",Wald_ratio,1,0.026572896,0.012424869,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.002220152,0.05092564,1.026929104,1.002222618,1.052244646,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD4, TH1 TH17"
"MKRN1_T cell, CD4, naive",Wald_ratio,1,0.025347856,0.011852069,NA,NA,0.032461097,NA,NA,NA,NA,NA,NA,NA,0.0021178,0.048577911,1.025671844,1.002120044,1.049777158,0.279267251,Prostate cancer,ieu-b-85,MKRN1,"T cell, CD4, naive"
"TTC39B_Monocyte, classical",Wald_ratio,1,-0.019949439,0.00841838,NA,NA,0.017800218,NA,NA,NA,NA,NA,NA,NA,-0.036449464,-0.003449414,0.980248235,0.96420682,0.996556529,0.205114109,Prostate cancer,ieu-b-85,TTC39B,"Monocyte, classical"
"TTC39B_Monocyte, non-classical",Wald_ratio,1,-0.021059493,0.008886807,NA,NA,0.017800218,NA,NA,NA,NA,NA,NA,NA,-0.038477635,-0.003641351,0.97916071,0.962253225,0.996365271,0.205114109,Prostate cancer,ieu-b-85,TTC39B,"Monocyte, non-classical"
"NMI_T cell, CD4, TH2",Wald_ratio,1,-0.01566442,0.007088369,NA,NA,0.027113732,NA,NA,NA,NA,NA,NA,NA,-0.029557624,-0.001771217,0.984457628,0.970874931,0.998230351,0.254070041,Prostate cancer,ieu-b-85,NMI,"T cell, CD4, TH2"
"NMI_T cell, CD4, naive",Wald_ratio,1,-0.016951966,0.007671002,NA,NA,0.027113732,NA,NA,NA,NA,NA,NA,NA,-0.03198713,-0.001916803,0.98319091,0.968519047,0.998085033,0.254070041,Prostate cancer,ieu-b-85,NMI,"T cell, CD4, naive"
"ESPNP_T cell, CD4, TH1",Wald_ratio,1,-0.035690416,0.018073574,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.071114622,-0.00026621,0.964938977,0.931355132,0.999733825,0.34112208,Prostate cancer,ieu-b-85,ESPNP,"T cell, CD4, TH1"
"ESPNP_T cell, CD4, TFH",Wald_ratio,1,-0.03383395,0.017133463,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.067415536,-0.000252363,0.966732018,0.934806674,0.999747669,0.34112208,Prostate cancer,ieu-b-85,ESPNP,"T cell, CD4, TFH"
"RP11-108M9.2_T cell, CD4, naive",Wald_ratio,1,-0.031689112,0.01604732,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.063141858,-0.000236365,0.968807726,0.938810286,0.999763663,0.34112208,Prostate cancer,ieu-b-85,RP11-108M9.2,"T cell, CD4, naive"
"ESPNP_T cell, CD4, naive",Wald_ratio,1,-0.03820064,0.019344748,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.076116347,-0.000284933,0.962519801,0.926708381,0.999715107,0.34112208,Prostate cancer,ieu-b-85,ESPNP,"T cell, CD4, naive"
"RP11-108M9.2_B cell, naive",Wald_ratio,1,-0.030061481,0.01522309,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.059898737,-0.000224225,0.970385872,0.941859905,0.999775801,0.34112208,Prostate cancer,ieu-b-85,RP11-108M9.2,"B cell, naive"
"RP11-108M9.2_T cell, CD4, TH17",Wald_ratio,1,-0.031443707,0.015923047,NA,NA,0.048298883,NA,NA,NA,NA,NA,NA,NA,-0.062652881,-0.000234534,0.969045505,0.939269456,0.999765493,0.34112208,Prostate cancer,ieu-b-85,RP11-108M9.2,"T cell, CD4, TH17"
"SARS2_T cell, CD4, TH17",Wald_ratio,1,0.022226736,0.008706325,NA,NA,0.010681753,NA,NA,NA,NA,NA,NA,NA,0.005162339,0.039291133,1.02247559,1.005175686,1.040073239,0.157929933,Prostate cancer,ieu-b-85,SARS2,"T cell, CD4, TH17"
